# Parking Detection Results
# Method: YOLO Object Detection
# Attribution: YOLOv5/v8 by Ultralytics, COCO Dataset by Microsoft
# Generated on: 2025-08-30 16:52:50
#
timestamp,frame,vehicles_detected,total_spaces,occupied,free,occupancy_rate,space_1,space_2,space_3,space_4,space_5,space_6,space_7,space_8,space_9,space_10,space_11,space_12,space_13,space_14,space_15,space_16,space_17,space_18,space_19,space_20,space_21,space_22
0.9666666666666667,29,5,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.0,30,5,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.0333333333333334,31,7,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.0666666666666667,32,6,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.1,33,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.1333333333333333,34,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.1666666666666667,35,5,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.2,36,5,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.2333333333333334,37,7,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.2666666666666666,38,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.3,39,5,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.3333333333333333,40,5,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,occupied
1.3666666666666667,41,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.4,42,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.4333333333333333,43,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.4666666666666666,44,5,22,20,2,90.9090909090909,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free
1.5,45,6,22,19,3,86.36363636363636,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.5333333333333334,46,5,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.5666666666666667,47,5,22,20,2,90.9090909090909,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,free
1.6,48,6,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
1.6333333333333333,49,7,22,18,4,81.81818181818183,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,occupied,free,occupied,occupied,occupied,free,occupied,occupied,occupied,occupied,occupied,free,free
